country,Value_co2_emissions_kt_by_country,gdp_growth,energy_per_gdp,fossil_share_energy,renewables_share_energy,Primary energy consumption per capita (kWh/person),gdp_per_capita,Cluster
Algeria,119921.0000665,2.8857142857142857,1.1362857142857141,99.81457142857144,0.18542857142857144,12925.532952380952,3787.8173773333333,0
Argentina,160462.001865,1.4164682916190476,1.223142857142857,85.72333333333333,12.022619047619047,20954.67480952381,9238.73489352381,0
Australia,375537.99914,2.7758687007142857,1.5536666666666668,94.45928571428571,5.5407142857142855,68243.85776190476,45553.202580000005,0
Austria,67977.499839,1.225729549238095,1.2326666666666666,67.74004761904762,32.25995238095238,48732.90933333334,43156.12817333333,1
Azerbaijan,29517.500107,8.15173165852381,1.711904761904762,96.08257142857143,3.9174285714285717,16572.611476190476,4098.579996576191,0
Belarus,56955.99977149999,4.280135229,1.986047619047619,99.70519047619048,0.2806666666666667,29116.594904761907,4947.870561333333,0
Belgium,103018.4997195,1.3658167596666668,1.7887619047619048,80.32709523809524,3.862714285714286,66755.07442857143,40297.26904761905,0
Brazil,392988.49701,2.119239984952381,1.1815714285714285,56.10671428571428,42.66171428571428,15376.291333333334,7882.134671190476,0
Bulgaria,45104.0002525,3.1283001688095236,2.211952380952381,72.81066666666666,6.832190476190476,28907.37057142857,6204.302079904762,0
Canada,547644.502445,2.3286610582857143,2.729857142857143,65.01871428571428,28.61919047619048,113492.29080952381,41199.736797142854,1
Chile,69111.5002435,3.292257055142857,1.1861904761904762,78.59433333333334,21.40566666666667,22439.450904761903,11099.421911428572,0
China,7636642.46335,8.696836640619049,2.098666666666667,90.50409523809523,8.484761904761905,20372.162095238094,5063.765297409524,0
Colombia,66925.9995125,3.3097853106190476,0.8733809523809525,69.74652380952381,30.25347619047619,9568.490285714286,5234.453703380952,0
Croatia,19060.00005,1.5969695946190476,1.3098571428571428,79.46961904761905,20.530380952380952,23078.54761904762,12123.637604571428,0
Denmark,45182.500151500004,1.2511584387142858,0.9249047619047618,80.90457142857143,19.095428571428574,39216.81252380952,53023.626529999994,1
Ecuador,33436.9999315,2.833788453380952,1.1115238095238094,78.50980952380954,21.490190476190474,10117.275690476192,4451.198982047619,0
Estonia,16545.4998865,3.707719644333333,2.201285714285714,95.79476190476191,4.205238095238095,50346.752380952385,15100.362749428572,0
Finland,54883.999511500006,1.4324817165714285,1.780714285714286,59.917142857142856,22.61952380952381,65971.80923809523,42940.29909761905,1
France,345437.49817,0.9978623376666667,1.2668095238095238,52.98390476190476,8.569666666666667,47481.304476190475,36969.36295333334,1
Germany,773644.502685,1.086019149904762,1.180952380952381,81.29933333333334,10.108333333333334,47166.8890952381,39567.19697333333,0
Greece,85538.499845,-0.10352200709523803,1.373047619047619,91.8115238095238,8.188476190476191,32848.40885714286,21212.65642904762,0
Hungary,49679.499634,2.3060867865238093,1.410047619047619,82.29409523809524,3.215095238095238,27528.930047619047,12327.157572285714,0
Iceland,2047.9999907000001,2.7152301724761907,4.121047619047619,25.698,74.302,157872.8882857143,52057.28379904762,1
India,1633978.99966,5.819436646095238,1.149,91.73152380952381,7.119047619047619,5014.622866666667,1229.4311656952382,0
Indonesia,420334.001585,4.911670430857143,0.8448571428571429,95.39304761904762,4.6069523809523805,6868.549457142857,2571.038161452381,0
Iraq,113236.4993925,4.444719510761905,1.7194761904761906,98.58966666666667,1.4103333333333332,12649.577047619048,4025.813023038095,0
Ireland,40948.999863,5.026442942619047,0.8334285714285714,91.68166666666667,8.318333333333333,41027.32604761905,54848.812425238095,0
Israel,64754.000243999995,3.5798893716190476,1.2453333333333334,99.14328571428571,0.8566666666666668,35663.33961904762,30438.483261904763,0
Italy,399400.49768,-0.04103163728571432,0.9788571428571429,87.82804761904762,12.171904761904763,33625.82633333333,32236.720944761903,0
Japan,1183734.4852500001,0.604184128,1.282857142857143,86.01566666666666,6.328714285714286,44970.899,39387.1511,0
Kazakhstan,195326.000395,6.095238095333333,1.973666666666667,95.87704761904762,4.1229523809523805,36778.67442857143,7466.076762809524,0
Latvia,7621.500017300001,3.4471673325714285,1.1269047619047619,78.66761904761904,21.33238095238095,20871.088523809525,11877.919629285714,0
Lithuania,11763.499983,4.000958848380953,1.436,78.9274761904762,5.272142857142858,25063.479619047623,12256.960856857142,0
Luxembourg,10190.499863250001,2.736899822666667,1.6757142857142857,96.41709523809524,3.582904761904762,90423.05642857144,97804.12090000001,1
Malaysia,193807.00114,4.559798109904762,1.8093333333333335,96.251,3.749,33151.22914285715,8197.509310761905,0
Mexico,444619.49718500004,1.5805167329523808,1.2645238095238096,92.8087619047619,5.870380952380953,18368.96061904762,8992.853830809523,0
Morocco,50996.0002135,3.6317946914761903,0.8458095238095238,95.84709523809524,4.152904761904762,5730.310276190476,2555.2708953333336,0
Netherlands,161232.998595,1.3050028344761906,1.4895714285714285,95.52790476190476,3.4953333333333334,63997.18709523809,45943.92395333333,0
New Zealand,32301.9999665,2.7566595369523808,1.7022380952380953,63.24285714285714,36.75714285714285,54934.86247619047,32708.297837619048,1
North Macedonia,8584.0000477,2.4993082467619048,1.4585238095238096,87.3662380952381,12.633761904761906,14791.571904761906,4264.302284,0
Norway,37555.499923,1.5368486382380953,1.502047619047619,31.27,68.72999999999999,109565.2651904762,74566.62500428571,1
Pakistan,143047.00016999998,4.010552982904762,0.9033809523809524,87.09771428571429,11.518571428571429,3787.3785904761908,1016.4369857095238,0
Peru,41909.499928,4.010787074714285,0.9964761904761904,69.90666666666667,30.093285714285717,7518.942666666667,4693.094070285714,0
Philippines,91612.5002895,4.756147346904761,0.670047619047619,84.7162380952381,15.283809523809524,4011.0206952380954,2192.4041289666666,0
Poland,301559.999395,3.5315431245238096,1.493952380952381,96.33585714285714,3.664142857142857,28850.53880952381,11156.489761428573,0
Portugal,54837.499954,0.464801823,1.135190476190476,79.25157142857142,20.74842857142857,28155.880476190476,19945.961164285713,0
Romania,84686.4994045,3.666958296952381,1.4248571428571428,80.12304761904763,13.769095238095238,20104.19938095238,7734.7224750000005,0
Slovenia,15050.0000925,2.150739848047619,1.5664285714285715,66.19204761904761,15.371142857142857,40418.24704761904,20990.596500000003,0
South Africa,398041.501765,2.2292938458571427,2.473095238095238,96.59461904761905,0.9677142857142856,26385.795142857143,6112.630034285715,0
Spain,288912.99866,1.2489015140000002,1.1724761904761904,76.49433333333334,13.881619047619049,36755.79204761905,26878.725929047618,0
Sri Lanka,15603.0001295,4.712037695047619,0.4106666666666667,83.371,16.629,3683.808176190476,2535.2589178619046,0
Sweden,45280.500283,2.0833563714761905,1.6490952380952382,33.90638095238095,38.893857142857144,67193.4239047619,48698.123673809525,1
Switzerland,42530.499618,1.7898927897142856,0.8217619047619048,49.62528571428572,30.66014285714286,44252.43195238095,71247.82533619048,1
Thailand,228940.50018000003,3.501190654666667,1.3447619047619046,96.13542857142858,3.8645714285714288,17095.16280952381,4720.135592238095,0
Trinidad and Tobago,18280.500094,2.5735484773333335,5.081333333333333,99.99236363636363,0.0076363636363636364,137467.30595238094,14916.511495333334,0
Ukraine,263449.50139,2.1280523941428573,3.4451904761904766,80.26057142857142,2.4965238095238096,29350.11138095238,2599.344633642857,0
United Kingdom,470603.99963499996,1.2905209676190477,1.0995714285714284,85.83090476190476,6.416190476190477,39117.23519047619,40789.4975447619,0
United States,5329538.5342,1.8430245322380951,1.6901904761904762,85.23338095238095,6.2603809523809515,84297.16342857142,50076.813150476184,0
Uzbekistan,118427.0007035,6.253772377666666,3.0091428571428573,96.80142857142857,3.198571428571429,19346.59928571429,1438.2506040714286,0
